454 1196       
91442 -82.5191016 40.0680652      
70838 -82.5174297 40.07582      
409938 -82.5203367 40.0702502      
75790 -82.5229743 40.0675293      
48549 -82.5165258 40.0701142      
78055 -82.5240135 40.0738307      
93053 -82.5234667 40.0681891      
58606 -82.5213949 40.0752805      
35429 -82.5267501 40.0716189      
67438 -82.5284411 40.068428      
88563 -82.5234754 40.0680986      
30236 -82.5253717 40.0714017      
69609 -82.5189941 40.0742233      
70839 -82.5165461 40.0755907      
635949 -82.5253068 40.0725503      
52908 -82.5115169 40.0779361      
26038 -82.5236941 40.071846      
73734 -82.523438 40.0693668      
67411 -82.5252627 40.0681584      
91439 -82.518534 40.0678671      
62521 -82.5100894 40.0792039      
30219 -82.5251861 40.0710971      
30221 -82.5255374 40.0713698      
67454 -82.5264541 40.0680704      
51738 -82.5251789 40.0728973      
68176 -82.5185634 40.0683205      
69740 -82.5199802 40.0739238      
62337 -82.5277213 40.0732741      
47555 -82.5187205 40.068484      
56009 -82.521212 40.077365      
35969 -82.53058 40.0781895      
47568 -82.5186237 40.0683991      
50747 -82.5228742 40.0731528      
74069 -82.5161631 40.0681855      
44845 -82.5156266 40.0713296      
40221 -82.5188174 40.0712654      
10770 -82.5181643 40.0680256      
54171 -82.5246791 40.0690957      
89565 -82.5234472 40.0690765      
47556 -82.5187242 40.0684513      
26009 -82.5249072 40.0733812      
68215 -82.5194146 40.0687788      
15404 -82.5191457 40.0681057      
15384 -82.5211432 40.0713229      
19863 -82.519143 40.0741823      
11693 -82.5191006 40.0719892      
81123 -82.5217729 40.075888      
37204 -82.5276174 40.0742146      
99101 -82.525472 40.0759101      
44544 -82.5251867 40.0716041      
69297 -82.5284915 40.06653      
66299 -82.522673 40.070789      
67536 -82.5235282 40.0682971      
67539 -82.5223973 40.0691348      
36000 -82.5223883 40.0775734      
55353 -82.524034 40.0738962      
615 -82.5281039 40.0722354      
6259 -82.5191052 40.0763395      
30215 -82.5236492 40.0709586      
29666 -82.5236145 40.0674122      
85248 -82.5209072 40.0774417      
188 -82.5187831 40.0708527      
68222 -82.5192006 40.0686948      
6132 -82.523215 40.0711747      
45102 -82.5252592 40.0706723      
19708 -82.5252096 40.068245      
48032 -82.5264765 40.0729818      
89577 -82.5241599 40.0703638      
12576 -82.5183289 40.0690831      
75788 -82.5229745 40.0679637      
49374 -82.5188764 40.074066      
54357 -82.5204209 40.065081      
41831 -82.5254305 40.0708495      
73489 -82.5183869 40.0683705      
44530 -82.527877 40.0719186      
30232 -82.5253753 40.0715331      
36998 -82.5208161 40.067389      
67504 -82.5219748 40.0681048      
67521 -82.5202924 40.067963      
48038 -82.5251461 40.0725467      
54170 -82.5218952 40.0682008      
19658 -82.516944 40.086262      
77560 -82.5271802 40.0696933      
26008 -82.5250376 40.0734882      
9826 -82.5187013 40.0681202      
187 -82.5188351 40.0708161      
56023 -82.519176 40.07735      
30223 -82.5254108 40.0715563      
40184 -82.5178764 40.0725151      
97179 -82.5164911 40.0680863      
65987 -82.517704 40.0680619      
88564 -82.52273 40.0681475      
69997 -82.5145343 40.0781114      
88565 -82.5235455 40.0681024      
67414 -82.5251093 40.0683507      
74850 -82.5229743 40.0682644      
72629 -82.5193734 40.0767819      
56010 -82.521037 40.077409      
36852 -82.525078 40.0723565      
58160 -82.5195817 40.0679243      
64456 -82.5195634 40.0680838      
36014 -82.518197 40.074455      
68214 -82.5195429 40.0687859      
41830 -82.5255849 40.070897      
9953 -82.5198348 40.070953      
11688 -82.5184619 40.0727411      
92590 -82.5251358 40.0710919      
96667 -82.5235576 40.0679964      
65998 -82.5186234 40.0685183      
30224 -82.5255741 40.0713884      
25971 -82.5270061 40.0699462      
81122 -82.5217986 40.0757694      
40269 -82.5190239 40.071985      
33054 -82.5244136 40.0714656      
70037 -82.5207426 40.0846773      
15969 -82.5180451 40.0679956      
32393 -82.5146392 40.0700009      
73494 -82.5179158 40.0679916      
62949 -82.523663 40.0708302      
30238 -82.5254484 40.0713635      
68184 -82.5199676 40.0685887      
68177 -82.5186435 40.0683288      
29667 -82.5257876 40.0688049      
26013 -82.5194292 40.0708791      
47557 -82.5185047 40.0684372      
206 -82.517816 40.0715091      
12587 -82.5177686 40.0701888      
51754 -82.5181205 40.0745154      
88890 -82.5199034 40.0756564      
9824 -82.5188475 40.068197      
15399 -82.5193704 40.0682979      
44136 -82.5246621 40.07019      
37553 -82.52413 40.0705943      
19719 -82.5250621 40.0696474      
94372 -82.5283108 40.0707605      
12610 -82.5166827 40.0713379      
72630 -82.5192454 40.0767478      
74853 -82.5185457 40.0677119      
74080 -82.516515 40.0681838      
10771 -82.5177177 40.0680401      
62489 -82.5199494 40.078205      
62490 -82.5193609 40.0779764      
88560 -82.5219857 40.0680166      
30225 -82.5256014 40.0714151      
91441 -82.5183388 40.0678565      
41829 -82.525589 40.0708594      
44642 -82.5248424 40.0731491      
29662 -82.5241328 40.0681347      
62483 -82.5120066 40.0768813      
62947 -82.5219216 40.0679047      
184 -82.5186394 40.070704      
76800 -82.5227364 40.0735896      
74058 -82.5165954 40.0693947      
15379 -82.5214416 40.0723066      
15342 -82.5171991 40.0719265      
40207 -82.5188051 40.071204      
65994 -82.5187556 40.068567      
27122 -82.5183612 40.0705758      
29668 -82.5258562 40.0682872      
89586 -82.5252325 40.0708239      
35954 -82.5259141 40.0728515      
52344 -82.5188603 40.0681431      
51749 -82.5214127 40.0739756      
55341 -82.5249175 40.0732824      
19718 -82.5250702 40.0694434      
40254 -82.5190031 40.0718838      
67518 -82.5202776 40.0681153      
91440 -82.5183477 40.0677008      
89585 -82.5249068 40.0708027      
17650 -82.521391 40.078327      
62491 -82.5195142 40.077573      
49373 -82.5197314 40.0737968      
17647 -82.521259 40.078344      
67415 -82.5251415 40.0681902      
62484 -82.5211741 40.0800893      
33165 -82.5236573 40.0714081      
69952 -82.540028 40.069233      
11707 -82.520067 40.0733999      
95266 -82.5227986 40.0746854      
79134 -82.5402071 40.0862294      
9946 -82.5195926 40.070574      
30229 -82.5255768 40.0715412      
23859 -82.517161 40.0745256      
41828 -82.5258975 40.0709165      
62520 -82.5112857 40.0781412      
16709 -82.5189524 40.0708833      
88884 -82.5176154 40.0742012      
48039 -82.527991 40.073945      
69617 -82.5196673 40.0745782      
67509 -82.5219971 40.0679089      
40251 -82.5195351 40.071827      
74077 -82.5163648 40.0679859      
15354 -82.5168887 40.0720665      
45113 -82.5252358 40.0725563      
88575 -82.5257439 40.0668759      
40193 -82.5189686 40.0717801      
40192 -82.5184028 40.072338      
85239 -82.5212588 40.0774859      
35412 -82.5236706 40.0702566      
75787 -82.5229695 40.0680707      
74076 -82.5163923 40.0677502      
172 -82.5238695 40.0709774      
44137 -82.5246447 40.0701616      
67430 -82.5258426 40.0683649      
67403 -82.5258047 40.0681282      
15363 -82.5176563 40.0727313      
189 -82.5184252 40.0708758      
81121 -82.5218299 40.0754071      
44838 -82.5161595 40.0713249      
37552 -82.5241916 40.0700278      
51736 -82.5166468 40.0690248      
78313 -82.520779 40.077171      
88566 -82.5243557 40.0682394      
28150 -82.521444 40.0775238      
20125 -82.521755 40.0697239      
67449 -82.5284093 40.0664866      
65976 -82.5181871 40.0686374      
11469 -82.5188465 40.0680008      
62488 -82.5197672 40.078716      
68178 -82.5184144 40.0690493      
76793 -82.5220502 40.0738113      
28167 -82.5140875 40.077001      
8777 -82.5197422 40.0739912      
67519 -82.5200239 40.0681033      
82604 -82.5239189 40.0654191      
54023 -82.5209249 40.0767813      
63084 -82.5176214 40.067973      
88157 -82.5278372 40.067972      
72636 -82.5201639 40.0769812      
67436 -82.5284039 40.0684934      
67508 -82.5218276 40.0678993      
62485 -82.5206732 40.0799309      
73712 -82.518332 40.069045      
92631 -82.5201167 40.0685988      
15362 -82.5178898 40.0726173      
25969 -82.5281541 40.0696495      
68183 -82.5200122 40.0681028      
91444 -82.51912 40.0678991      
81120 -82.5216617 40.0753556      
54165 -82.5250966 40.069188      
30216 -82.524081 40.0709955      
85241 -82.5210907 40.0775579      
12603 -82.5160373 40.0717963      
40169 -82.5184106 40.0724991      
76797 -82.5225482 40.0734806      
58162 -82.5201688 40.0679563      
12572 -82.5184361 40.0678624      
50748 -82.5220225 40.0731032      
90598 -82.5249556 40.0733301      
63083 -82.5176394 40.0678184      
76798 -82.5225079 40.073491      
15397 -82.5193779 40.0682169      
74852 -82.5183313 40.0680318      
30053 -82.5186168 40.0686781      
50750 -82.5218589 40.0722295      
173 -82.52326 40.0705427      
70837 -82.515887 40.0771086      
73488 -82.5171766 40.0684523      
30231 -82.5254983 40.0715701      
64457 -82.5184143 40.0680375      
20124 -82.521792 40.0692832      
29663 -82.524135 40.0680368      
73726 -82.5235367 40.0681931      
73495 -82.5179397 40.0678347      
67520 -82.5200403 40.0679493      
45111 -82.525168 40.0723572      
17884 -82.5212709 40.0775147      
16769 -82.5174283 40.0679453      
10769 -82.5193821 40.0680649      
76794 -82.5230231 40.0737363      
69938 -82.5219034 40.0681008      
70036 -82.5180727 40.0865173      
40206 -82.5183614 40.0717159      
30214 -82.5233515 40.0709278      
175 -82.5232886 40.070924      
96670 -82.5252414 40.0673315      
15346 -82.5176366 40.0726179      
54168 -82.5247368 40.0683688      
52914 -82.5103564 40.0798428      
35994 -82.5214406 40.07746      
28149 -82.521527 40.0781164      
15348 -82.517203 40.0725146      
89581 -82.5236912 40.0705683      
71883 -82.5181112 40.0680378      
73704 -82.5132862 40.0688278      
55374 -82.5231298 40.0742561      
74033 -82.5133632 40.0716205      
76799 -82.5222391 40.0733287      
11686 -82.521722 40.0732031      
15381 -82.5213074 40.0716129      
176 -82.5233159 40.0705826      
12803 -82.5207228 40.0681256      
92592 -82.5244454 40.0712963      
65996 -82.5185015 40.0684698      
9825 -82.51878 40.0681072      
15388 -82.5202992 40.0713812      
44517 -82.5278114 40.071911      
67544 -82.522032 40.0689433      
67412 -82.5252166 40.0681555      
9954 -82.5198886 40.0712224      
62487 -82.5202949 40.0787232      
68223 -82.5191927 40.0687667      
9827 -82.5174337 40.0680189      
67543 -82.5224135 40.0689653      
59686 -82.5221399 40.0657301      
179 -82.5207851 40.0708527      
52345 -82.5191948 40.068128      
38310 -82.5201629 40.0691887      
11706 -82.5199743 40.0731728      
41827 -82.5259244 40.0708919      
26002 -82.5214106 40.0745878      
88882 -82.5166043 40.0735634      
15395 -82.5193866 40.0681231      
88559 -82.5227379 40.068058      
79378 -82.5210043 40.0818944      
21222 -82.5255685 40.0703793      
11501 -82.519261 40.0681335      
15385 -82.5205607 40.0712308      
9470 -82.5218169 40.0733039      
95263 -82.5226038 40.0743615      
30899 -82.5269852 40.0714076      
30228 -82.5256032 40.0715138      
78321 -82.520413 40.077093      
62517 -82.5119581 40.0782163      
66297 -82.522614 40.070549      
9830 -82.5189489 40.0681227      
64455 -82.5201591 40.068109      
74065 -82.5161704 40.0677381      
96665 -82.5219666 40.068205      
73711 -82.516653 40.0689585      
96669 -82.5251484 40.0681512      
67431 -82.5273969 40.0684524      
67424 -82.5306929 40.0685882      
15366 -82.5173147 40.0727447      
12809 -82.5218101 40.0680955      
40220 -82.5189324 40.0717867      
54755 -82.5207149 40.0728414      
67528 -82.523593 40.0669797      
69946 -82.5274031 40.0683866      
21214 -82.5241669 40.07031      
69937 -82.5207229 40.0679912      
21018 -82.519121 40.0683156      
21204 -82.522638 40.0704947      
